,Human,BLEU-1,BLEU-4,ROUGE-L,METEOR,CIDEr,BERTScore,BLEU-1-KPQA,ROUGE-L-KPQA,BERTScore-KPQA
0,2.4,0.18749999998828132,2.8787878179013993e-09,0.22989949748743718,0.09757088211471898,0.4746880067789354,0.49972912669181824,0.27986976866980545,0.31547646566581283,0.6201228499412537
1,4.777777777777779,0.7058823528581315,0.4481501735486609,0.7058823529411764,0.4613874519396641,4.96900969977081,0.8336280584335327,0.9464695941812148,0.9575738251332254,0.9769476056098938
2,3.0,0.14685210998544312,8.965480643477216e-06,0.2011873350923483,0.12038815012983729,0.03621630960048895,0.5038286447525024,0.18917467550189784,0.32886528849294583,0.5538865923881531
3,1.0,0.14630799454877857,1.9852724995501482e-09,0.2684268426842684,0.12172030445294581,0.3743749295443371,0.7130275368690491,0.0008325233235090021,0.054628511913020435,0.5134106874465942
4,3.2,0.4117647058581315,2.4623953023675646e-05,0.36563436563436563,0.18386244467959476,1.1157953344339195,0.5663436055183411,0.4296700657233749,0.4451924913383679,0.6803990602493286
5,3.4,0.5134171189184995,3.792150159322016e-05,0.6379084967320262,0.30119009046097056,2.1747135319977473,0.8483189940452576,0.5004199171387967,0.6268727472791518,0.8412829637527466
6,1.25,0.27272727270247943,2.950234362881453e-05,0.28818897637795277,0.1660634068927703,1.7102202807301161,0.5601006746292114,0.2430887698699597,0.2448608152042549,0.5302478075027466
7,5.0,0.3333333332962964,5.612222323540175e-09,0.5495495495495495,0.38291593123796863,1.603709902672874,0.8624778985977173,0.993923890768047,0.9545479633151547,0.985444962978363
8,1.8,0.3159745128511315,2.3302012901184297e-05,0.37423312883435583,0.14522695641492447,1.0026467132962205,0.5798486471176147,0.15822895228724007,0.2450186846627706,0.5321416258811951
9,4.888888888888889,0.5647181218464112,0.3993160133977512,0.7478108581436078,0.3401985160016793,4.713535134712536,0.8594122529029846,0.5737534155171939,0.9948907620941154,0.9476545453071594
10,4.75,0.4543004567159363,2.839730284068095e-05,0.43571428571428567,0.23210744628243274,1.8744350772094038,0.6796156167984009,0.6244341637561946,0.8120995481151138,0.785125732421875
11,1.125,0.23076923073372793,3.636227045901134e-09,0.23076923076923084,0.15362561100609806,0.9457425979577294,0.5928518772125244,0.027040793161962146,0.01570576132641673,0.41503995656967163
12,4.888888888888889,0.3647542671275065,0.350537777903658,0.577027027027027,0.3437263605899521,2.9915416280699514,0.8559896349906921,0.5318194566221295,0.8421416906471858,0.9189507961273193
13,1.375,0.06847172467808692,2.976918800403072e-13,0.1550190597204574,0.0922160688406183,0.14905211978183464,0.4186849296092987,0.023881779418755685,0.003620568284159973,0.31935152411460876
14,3.375,0.24999999997500005,1.712473044716128e-05,0.25,0.09189982349711248,0.8269826992267261,0.42610445618629456,0.10922384216849057,0.08286657693516744,0.4388682544231415
15,4.0,0.5066024564181081,3.6389546774360928e-09,0.4259115593483321,0.27164081172402554,0.9293802951527295,0.7923508882522583,0.5003535068809968,0.40652028035519655,0.7849966883659363
16,3.75,0.24999999998437505,3.0934588292167494e-09,0.28110599078341014,0.14945300983324747,0.6495873238127916,0.6763169765472412,0.3481585200309266,0.33136976794051903,0.6497033834457397
17,1.25,0.23300975854205383,1.9218320973629807e-05,0.36381709741550694,0.1815520789340408,0.38995585002841027,0.6832941174507141,0.001029765378548728,0.05140978223614519,0.49981051683425903
18,3.125,0.4084142154989203,5.950214278111528e-13,0.3090172239108409,0.1735211267605634,0.8644568827429435,0.6520509123802185,0.3477753685185083,0.2763390091281246,0.6373693346977234
19,1.6666666666666667,0.030119421185196366,2.010198698687365e-13,0.05854126679462573,0.02292263610315186,0.03551132911544228,0.44625067710876465,0.034634639785029606,0.12005470646324709,0.4505801200866699
20,1.5555555555555556,0.5054422162587139,0.3258798046964367,0.5147679324894514,0.2509310685253418,3.7216123991773635,0.6950337290763855,0.007284315336579564,0.03188912921572058,0.45860496163368225
21,4.875,0.7954127258804594,0.5648198096315044,0.8341880341880341,0.42505195064556167,5.991573506221687,0.9387863278388977,0.7611956975581433,1.0172548135893724,0.9771790504455566
22,4.5,0.76327311344054,0.43883551835626833,0.7233201581027668,0.4187523151789864,4.845258366943172,0.9004777669906616,0.8214648830415658,0.9386586494098957,0.9278449416160583
23,3.6,0.4999999999687501,0.30620490880240453,0.5622119815668203,0.3172955552784624,2.829016022597972,0.725121796131134,0.997352414122475,0.9910397626149973,0.9901860356330872
24,1.5,0.7142857141836736,6.500593259109356e-05,0.7800511508951408,0.3707170930065749,3.7090148783061543,0.8577370047569275,0.6177075810999616,0.6344694865368433,0.745742917060852
25,1.5,0.1999999999800001,4.463236137318893e-09,0.26180257510729615,0.10764386749798885,0.760829912903616,0.4423168897628784,0.012272139318456474,0.01353943737673996,0.435148686170578
26,1.2222222222222223,0.7692307691715977,0.6652049900527017,0.8460471567267683,0.4856604859161882,6.878235899697893,0.893638551235199,0.2530305467745467,0.3371410421451616,0.6214705109596252
27,4.875,0.7054014371737114,6.800874736195394e-05,0.7587064676616916,0.4381202008259522,4.229991669256367,0.941158652305603,0.8788470157462112,0.8954015424014447,0.9338567852973938
28,1.75,0.1851851851783265,3.3008091190121915e-13,0.18442932728647013,0.1303501846877977,0.12414447493561699,0.5359504818916321,0.25861343918632973,0.148496775594542,0.5855941772460938
29,3.7142857142857135,0.2172991041811062,4.152337256551951e-09,0.33516483516483514,0.12807391017367806,0.5149905678310115,0.7315481305122375,0.34981592240503934,0.22258024443581245,0.7342286705970764
30,1.25,0.7054014371737114,0.4548019045189752,0.7587064676616916,0.3707170930065749,4.947921269094252,0.7996874451637268,0.33659255708328906,0.3516652228734635,0.5629749298095703
31,1.8888888888888888,0.14634146341106488,2.2290242827444906e-13,0.14584578601315001,0.08648648648648649,0.00015794241576418458,0.5076566338539124,0.24876891602767903,0.13498684200709732,0.6077221632003784
32,1.75,0.0939230963524631,1.7611655594525177e-13,0.11444652908067543,0.06824644549763034,0.0033122103695584037,0.5281192064285278,0.09048936989151149,0.11172056860889579,0.6197978854179382
33,1.625,0.2786510651921791,2.2388578265921345e-09,0.1856925418569254,0.158778167820572,0.6172578073525927,0.6587919592857361,0.3687008422160256,0.27200673534301406,0.6653602719306946
34,3.0,0.4999999999500001,0.16195570126843986,0.45,0.2412463304805076,1.9701305998876415,0.6880173087120056,0.44182543082753684,0.4908643714528331,0.7071720957756042
35,5.0,0.7999999998400004,8.307018472587394e-09,0.6,0.4090898401038476,2.629294131215067,0.9100826382637024,0.9988794775273614,0.9460734416580001,0.9913423657417297
36,3.4,0.23076923076035508,1.3523285065948429e-05,0.24167987321711573,0.13452504485148206,0.3206553629670723,0.5011244416236877,0.21914974772910156,0.23418507129234858,0.5579712986946106
37,1.5555555555555556,0.6549846023313889,3.4559182851406744e-05,0.5366568914956013,0.2797080601439089,2.4642611603720708,0.836181104183197,0.427466199501043,0.49666036960293136,0.7156067490577698
