,Human,BLEU-1,BLEU-4,ROUGE-L,METEOR,CIDEr,BERTScore,BLEU-1-KPQA,ROUGE-L-KPQA,BERTScore-KPQA
0,0.6,0.3678794409261896,0.011633369375307054,0.6288659793814433,0.2801919259156008,4.063714695085646,0.7991842031478882,0.30119423407964424,0.5144133406999897,0.7839059233665466
1,0.2,0.1666666666111113,1.290994448214029e-12,0.16666666666666666,0.07581884276448919,0.11823216041783521,0.44713330268859863,0.11889662037714985,0.1894712869746779,0.5130159258842468
2,1.0,0.8333333331944446,0.7598356854711318,0.9242424242424241,0.555867739468901,8.846522035279229,0.9576268196105957,0.9345424633364416,0.9706770329843236,0.9641027450561523
3,0.2,0.1999999999800001,7.93688092513584e-13,0.26180257510729615,0.07618740750729608,0.144447194361379,0.437559574842453,0.16300021188844485,0.18949230024844713,0.4895075857639313
4,0.3,0.24999999993750027,2.540663739449812e-12,0.3546511627906977,0.19047619047619047,1.057993621291095,0.6090942025184631,0.3230311949516837,0.40828470422213853,0.6422383189201355
5,0.2,0.12383969992892904,1.6060081125895712e-09,0.14823815309842042,0.06745633606063801,0.15780584921239094,0.46073591709136963,0.10154638775829213,0.15842067635621457,0.551627516746521
6,0.2,3.678794404356842e-16,2.068738122000421e-09,0.0,0.0,0.0,0.311443030834198,3.747543075867718e-16,0.0,0.3589298129081726
7,0.2,3.678794404356842e-16,2.068738122000421e-09,0.0,0.0,0.0,0.3361683487892151,4.888405235447127e-16,0.0,0.2805096507072449
8,0.6,0.24999999993750027,2.540663739449812e-12,0.3546511627906977,0.17777777777777778,0.9937189696692701,0.6359441876411438,0.36195158678267964,0.4412724917415304,0.680152952671051
9,0.4,0.5488116358745021,5.802976527453859e-05,0.7384987893462469,0.3247875416606277,3.5349468028044746,0.8139739036560059,0.44932895448139115,0.8875511577388617,0.8684166669845581
10,0.2,0.049787068268290074,1.5744053386817196e-06,0.3609467455621302,0.04624277456647399,0.36209339096603227,0.49328911304473877,0.018315638582812047,0.2295089042115014,0.5083136558532715
11,0.2,0.22222222217283966,9.018037815333522e-13,0.2222222222222222,0.04624277456647399,0.17079741992701694,0.41705116629600525,0.1863780557377116,0.08169857735208433,0.47114163637161255
12,0.2,0.24999999993750027,2.540663739449812e-12,0.2932692307692307,0.07339449541284403,0.20411732666939564,0.5055758953094482,0.1733713314108714,0.2109094009888835,0.5497907400131226
13,0.7,0.7142857140816329,0.6147881527467011,0.7142857142857143,0.5260492601500357,6.144345616984391,0.8066384196281433,0.6306809304288852,0.7887880089389191,0.8404709100723267
14,0.2,4.999999995000003e-16,2.659147946145741e-11,0.0,0.049484536082474224,0.0,0.45454102754592896,9.063983528908293e-16,0.0,0.474123477935791
15,0.2,9.99999998000001e-16,5.62341324487423e-09,0.0,0.0,0.0,0.42585328221321106,5.47230858674598e-16,0.0,0.4446723163127899
16,1.0,0.5362560366140092,6.0570253634217745e-05,0.6472148541114059,0.3408760886159528,3.2072955882630536,0.8445634245872498,0.6883376832205391,0.8317365254250605,0.8648999929428101
17,0.4,0.4999999997500003,3.0213753950277923e-12,0.5,0.2211981566820277,1.5552015583455503,0.7160470485687256,0.5980320705172717,0.6773766937879432,0.7132946848869324
18,0.2,3.0326532955305157e-16,1.6128547580492708e-11,0.0,0.0,0.0,0.4863450527191162,2.7102217364688303e-16,0.0,0.47566017508506775
19,0.9,0.30119421179172456,0.3011942117553303,0.5854126679462572,0.2649057195906481,3.5942625630471965,0.8093676567077637,0.36787942873376545,0.6600093549003807,0.8450043201446533
20,0.7,0.49999999950000074,1.4953487799127914e-07,0.5,0.3965557858586919,1.6688191353526938,0.8197266459465027,0.6076517724984448,0.9391978099790514,0.8004657626152039
21,0.2,0.4999999997500003,1.6990442435374433e-08,0.5,0.23561593770175526,2.0456586984822795,0.6155188679695129,0.3876113800041016,0.5642929496906107,0.6758307218551636
22,1.0,0.142484530730549,3.251563818750512e-09,0.17604617604617603,0.14141259810706755,0.5708085495334918,0.5549145936965942,0.1245985118049924,0.19886733250408814,0.5954585671424866
23,1.0,0.7999999999200001,0.660632863523656,0.9070631970260222,0.5193190762351243,7.115478439343117,0.9057382345199585,0.7699976840326541,0.9016323907199566,0.920336127281189
24,0.2,0.3032653295530519,9.069748819809871e-08,0.3860759493670886,0.147239263803681,1.2842393788488398,0.5945194959640503,0.39257529164502414,0.21627362645695908,0.5797749161720276
25,0.2,4.999999997500001e-16,2.659147947475314e-11,0.0,0.0,0.0,0.2650585174560547,3.3598701638004383e-16,0.0,0.26500141620635986
26,0.2,0.6549846022003919,1.315583108288415e-08,0.7155425219941348,0.3095678817889956,2.4010137266250418,0.817988395690918,0.5421045949507661,0.7862312480500155,0.8797476291656494
