,Human,BLEU-1,BLEU-4,ROUGE-L,METEOR,CIDEr,BERTScore,BLEU-1-KPQA,ROUGE-L-KPQA,BERTScore-KPQA
0,1.0,0.6666666662222226,4.272870060579654e-06,0.6666666666666666,0.2566114172989414,2.2342833453156388,0.8364418148994446,0.5134171185428312,0.6576806533070849,0.8115823864936829
1,0.2,4.999999995000003e-16,2.659147946145741e-11,0.0,0.0,0.0,0.5514615774154663,4.7937791201699e-16,0.0,0.5445213317871094
2,0.2,3.678794404356842e-16,2.068738122000421e-09,0.0,0.0,0.0,0.3883827328681946,3.960754367792765e-16,0.0,0.3781251311302185
3,0.2,2.0611536183162944e-24,1.1590718580141717e-17,0.0,0.0,0.0,0.33649682998657227,1.1297068883259454e-25,0.0,0.3434128165245056
4,0.2,1.9999999996000001e-16,3.02137539638741e-16,0.0,0.0,0.0,0.5493574142456055,3.918506574566755e-16,0.0,0.5006229281425476
5,0.2,0.4999999998750002,3.0213753957831354e-12,0.5865384615384615,0.15533980582524273,0.8306766617186103,0.6807109713554382,0.2762001060223217,0.6554569050609176,0.6297909021377563
6,0.2,0.14285714283673484,1.0445522728736978e-12,0.19122257053291536,0.05925925925925926,0.06254085784585929,0.5480110049247742,0.14198436954557955,0.13558977119660606,0.5939120650291443
7,1.0,0.018315638852103033,5.791913561715675e-07,0.2975609756097561,0.12244897959183675,0.46670483279163044,0.5121488571166992,0.00033546262722225734,0.6469215091801819,0.7493656277656555
8,0.2,4.999999997500001e-16,2.659147947475314e-11,0.0,0.0,0.0,0.5738838911056519,6.770473601083048e-16,0.0,0.5571136474609375
9,0.2,0.1839397204017818,5.501080735107161e-08,0.31443298969072164,0.04848484848484849,0.20168495041139212,0.5679721832275391,0.04897255917121957,0.17026103764246306,0.5910180807113647
10,1.0,4.999999997500001e-16,2.659147947475314e-11,0.0,0.0,0.0,0.7715156674385071,0.39026104727432176,0.44090576553260336,0.799903392791748
11,0.2,2.499999999375e-16,4.518010015696094e-16,0.0,0.0,0.0,0.44268181920051575,6.078897027484545e-16,0.0,0.38954371213912964
12,0.2,9.118819637307602e-19,5.127889122861252e-12,0.0,0.0,0.0,0.4415034055709839,3.406909073208273e-19,0.0,0.4618203341960907
13,0.5,0.13033045752266872,5.810481992521399e-13,0.3689516129032258,0.08695652173913045,0.4891377036658854,0.6152780055999756,0.23260426526725098,0.8303222691542669,0.8853472471237183
14,0.2,0.42784759905121095,4.124939040367575e-05,0.5980392156862745,0.24347095567729113,2.621061283350172,0.7867001295089722,0.43486160471131197,0.6269439041356906,0.7976836562156677
15,0.2,3.3333333322222225e-16,1.1362193659467322e-13,0.0,0.0,0.0,0.3337251543998718,4.3523775622209257e-16,0.0,0.33084914088249207
16,0.2,1.3533528296594253e-16,7.610462242515746e-10,0.0,0.0,0.0,0.3463936746120453,1.4935115219598601e-16,0.0,0.3739701509475708
17,1.0,0.6065306591061034,0.0006065306591819196,0.7721518987341772,0.41839678425313187,3.9831778049350723,0.9339043498039246,0.606530679684458,0.8443597235426465,0.935847818851471
18,1.0,0.6065306591061034,0.0006065306591819196,0.7721518987341772,0.39395436043078397,4.007793153305828,0.9192515015602112,0.6065306591046793,0.9387896355789808,0.9456018805503845
19,0.2,1.8393972040178161e-16,9.782458604202842e-12,0.0,0.0,0.0,0.362400621175766,1.3179350878803173e-16,0.0,0.3402100205421448
20,0.2,1.711390395634381e-16,5.833544732589585e-14,0.0,0.0,0.0,0.394246369600296,1.889269608876569e-16,0.0,0.4227654039859772
21,0.2,0.3333333331111115,6.389431037404428e-10,0.3333333333333333,0.17910447761194032,1.0624124362643277,0.7322341203689575,0.40482170580336707,0.43391775589736875,0.7388414740562439
22,0.2,1.9999999992000006e-16,3.021375395783136e-16,0.0,0.051795391665039235,0.0,0.4417641758918762,3.356894988146999e-16,0.0,0.4835112988948822
23,0.2,3.3546262723158953e-19,1.886444984907315e-12,0.0,0.0,0.0,0.3671596348285675,3.5169308449761148e-19,0.0,0.38783618807792664
24,0.2,0.49999999950000074,1.4953487799127914e-07,0.5,0.14545454545454545,1.0319851231664334,0.5564332008361816,0.09845425400343778,0.11462359505141109,0.46238893270492554
25,0.2,1.8315638852103013e-17,1.0299640631524183e-10,0.0,0.0,0.0,0.3707387149333954,2.5869755439622312e-18,0.0,0.3777885138988495
26,0.2,0.08688697168177915,2.9524961829628007e-09,0.24596774193548387,0.08510818031578184,0.36553638989978315,0.5804919600486755,0.06734311742780187,0.31499127283930184,0.6290234923362732
27,0.2,3.0326532955305157e-16,1.6128547580492708e-11,0.0,0.0,0.0,0.4022577106952667,1.5282597061694602e-15,0.0,0.42590126395225525
28,0.2,0.13406400915350244,1.138903415829333e-12,0.16180371352785147,0.031496062992125984,0.12930925180628072,0.4303700625896454,0.16707218959371628,0.18986189402750525,0.5001091957092285
29,0.2,4.978706826829002e-17,2.799732596833058e-10,0.0,0.0,0.0,0.34133079648017883,5.074185700206828e-17,0.0,0.35421180725097656
30,1.0,0.49999999950000074,1.4953487799127914e-07,0.5,0.1,0.2993312307654073,0.5243936777114868,0.3312375626895111,0.41636163019604594,0.5807662010192871
31,0.2,0.16666666663888907,1.2909944484291948e-12,0.2074829931972789,0.03773584905660377,0.07872402163301787,0.42834293842315674,0.11954526009513108,0.1740028526830999,0.45816975831985474
32,0.2,0.3333333332777779,8.633400211654075e-09,0.3696969696969697,0.1736980589172093,0.9825593032078361,0.6569653749465942,0.26135228214640505,0.3958551273664419,0.6982594132423401
33,0.2,9.99999998000001e-16,5.62341324487423e-09,0.0,0.0,0.0,0.5200417637825012,1.0250825787283024e-15,0.0,0.5200417637825012
34,0.2,6.737946985609614e-18,3.789026039791798e-11,0.0,0.0,0.0,0.3282291889190674,7.401625141680182e-18,0.0,0.31351378560066223
35,0.3,1.9470019567050115e-16,3.518629737268912e-16,0.0,0.03282051282051283,0.0,0.43032583594322205,2.1322594541752187e-16,0.0,0.4387950003147125
36,1.0,0.0067379469856096216,2.1307259243972606e-07,0.25311203319502074,0.08540925266903915,0.30833910328955905,0.5449234843254089,0.002478752171671947,0.5352288342703834,0.6920618414878845
37,1.0,0.018315638852103033,5.791913561715675e-07,0.2975609756097561,0.12244897959183675,0.44829714391903996,0.6156520247459412,0.006737946985534747,0.7526941632962131,0.8293678164482117
38,0.2,0.49999999950000074,1.4953487799127914e-07,0.5,0.1,0.30816695878685696,0.5713130831718445,0.39100381562250336,0.352200198920134,0.6343271136283875
39,0.2,6.737946985609614e-18,3.789026039791798e-11,0.0,0.0,0.0,0.3282291889190674,6.972583858655027e-18,0.0,0.31351378560066223
40,1.0,0.36787944080356333,0.0003678794408495482,0.6288659793814433,0.2581998173093651,3.00274489932562,0.8419843912124634,0.36787944076905327,0.7296598346554543,0.8732393383979797
41,0.2,1.8393972040178161e-16,9.782458604202842e-12,0.0,0.09729729729729729,0.0,0.48595666885375977,1.355803234939456e-16,0.0,0.48333367705345154
42,0.2,1.666666666388889e-16,2.295748846116193e-16,0.0,0.0,0.0,0.3855975270271301,2.3948946414065134e-16,0.0,0.39317646622657776
43,0.2,9.99999998000001e-16,5.62341324487423e-09,0.0,0.0,0.0,0.3840356469154358,1.0798149081346285e-15,0.0,0.3840356469154358
44,1.0,0.0009118819637307612,2.8836239647789742e-08,0.19488817891373802,0.08540925266903915,0.2017560359136774,0.5786625146865845,0.00033546262722357166,0.4974482358933219,0.7102572321891785
45,1.0,0.018315638852103033,5.791913561715675e-07,0.2975609756097561,0.12244897959183675,0.4407153340897868,0.6073359251022339,0.0067379469854931835,0.8412248744386855,0.8768498301506042
46,1.0,0.49999999975000053,1.4953487806604652e-07,0.7093023255813954,0.38095238095238093,2.260859141243781,0.9203721880912781,0.6684538095097506,0.7911197930671382,0.915358304977417
47,0.2,0.3333333331111115,6.389431037404428e-10,0.3333333333333333,0.08000000000000002,0.575420166199661,0.5510745644569397,0.09188475075929799,0.08400970717998543,0.49414321780204773
48,0.2,3.3333333322222225e-16,1.1362193659467322e-13,0.0,0.0,0.0,0.35326021909713745,3.7088962654673167e-16,0.0,0.36236751079559326
49,0.2,4.999999997500001e-16,2.659147947475314e-11,0.0,0.0,0.0,0.29323670268058777,5.311203989233396e-16,0.0,0.2930276095867157
